occupation,직무내용
백엔드개발자,"포지션 및 자격요건
Backend 개발 전문가 모집
( ○명 )
담당업무
ㆍ엘핀 서비스 개발 및 운영, 고도화
ㆍ데이터베이스 설계 및 관리/ 서버 성능 튜닝 및 모니터링 담당
ㆍ서비스 개선을 위한 기술 연구 및 신규 프레임웍 활용 등
ㆍ신규 서비스 개발 및 고도화, 운영 등

스킬
ㆍGoLang, JAVA, Spring, Spring Boot, Terraform, API, Docker, Git, Jenkins, AWS

자격요건
ㆍ학력 : 초대졸이상 (졸업예정자 가능)
ㆍ경력 : 신입·경력2년↑

우대사항
ㆍ유관업무 경험자(인턴·알바)
ㆍ관련 학과 전공자
ㆍ유관업무 경력자 (2년)
ㆍ전공 : 정보통신공학과, 컴퓨터공학과, 응용소프트웨어공학과"
백엔드개발자,"담당업무
ㆍJava를 활용한 서버 사이드 소프트웨어 개발
ㆍSpring framework 등을 이용한 RESTful API 설계 및 구현
ㆍ데이터베이스 모델링 및 설계 작업
ㆍSQL을 활용한 데이터 처리, 관리 및 성능 최적화

자격요건
ㆍJava 언어 사용이 능숙한 개발자
ㆍSpring framework 개발 경험
ㆍTCP/IP, gRPC 네트워크 프로그래밍 기본 지식
ㆍRDBMS 기본 지식
ㆍGit을 이용한 버전 관리의 기본적인 사용 방법 이해

우대사항
ㆍ데이터 파이프라인 구축 경험
ㆍKafka, Redis 활용 개발 경험
ㆍRESTful API 설계/개발/운영 경험
ㆍ다양한 환경 및 기술 활용에 대한 경험을 즐기시는 분"
백엔드개발자,"서버/백엔드 개발자
정규직 (신입)
global 거래소 마켓데이터 시스템 부분
고객사 지원 업무 ( 증권사 대상 해외주식,
해외선물 등)
global trading system 부문 고객사 지원
(은행대상 외환 거래 등)
자격요건
computer science 관련 전공 또는 부전공자
(정보처리기사 등 자격증 보유)
리눅스 , C 또는 C++ 및 DBMS
금융기관 유사 시스템 구축 경험 가능자
병역필 또는 면제자
우대사항
주식, 선물 및 외환등 기초 지식 보유자 우대
경제학 등 경상 관련 전공자 중 IT 기초 기술"
"웹개발자,앱개발자","모집분야 담당업무 자격요건 모집인원
웹/백엔드 프로그래머
웹,웹서비스 개발
- 학력 : 학력무관
- 경력 : 자바프로그램 경험자

[우대사항]
- 항공권 시스템 경험
1명
서류전형
코딩테스트

"
웹개발자,"담당업무
- 웹 개발(React, Vue 등) 프론트엔드+백엔드

자격요건
ㆍ학력 : 초대졸이상
ㆍ경력 : 신입
- React 또는 Vue 등 개발 가능자
- 프론트엔드+백엔드 개발 및 배포 가능자
- MySql 유경험자

우대사항
ㆍ컴퓨터활용능력 우수자
ㆍ관련 자격증 보유자
ㆍ자격증 : 정보처리기사"
"백엔드개발자,프론트엔드개발자,DBA","백엔드 개발자 노코드 Bubble.io 구인 (신입/경력)
포지션 및 자격요건
bubble.io 백엔드 개발자
( 4명 ) 
담당업무
ㆍBubble.io로 모바일 앱 개발, 웹 개발
ㆍBubble.io API 개발
ㆍ모바일 앱 개발에 필요한 기능 구현 

자격요건
ㆍ학력 : 학력무관
ㆍ개발자가 Bubble.io를 습득하고 활용하는데 1~2개월 정도 걸립니다.
ㆍBubble.io를 배우고 개발에 참여하실 분만 지원 부탁드립니다. 

우대사항
ㆍBubble.io로 서비스 런칭을 해보신분
ㆍbubble.io 유 경험자 및 포트폴리오 소지자"
풀스택,"( ○명 )
담당업무
ㆍ백엔드개발자 
ㆍ프론트엔드개발자 

스킬
ㆍC#, MSSQL, ASP.NET CORE, React, HTML5, Javascript

자격요건
ㆍ학력 : 초대졸이상
ㆍ경력 : 신입·경력

우대사항
ㆍ영어능통자"
"백엔드개발자,웹개발자","· 학력 : 대졸 이상(2, 3년)
· 신입 및 경력(연수무관)

담당업무
· Back-End 개발

자격요건
 · Java 개발 가능자
 · Spring 기반 프레임워크를 활용하여 웹 어플리케이션 개발 경험자
 · Rest API 설계 및 개발
 · JPA, Hibernate ORM 사용 또는 Mybatis 를 이용한 도메인 모델 경험자
 · ERD(논리/물리) 설계 가능자
 · RDBMS 유경험자
 · Unix & Linux 에 대한 이해 및 관련 스킬 보유

우대사항
- 컴퓨터 · 시스템공학, 공학계열 전공자
- 정보처리기사 · 산업기사 등 IT 관련 자격증 소지자
- MS 제품군 연동 경력 
 · MS GraphAPI를 활용하여 Azure(Entra) 연동 유경험자
 · OnPremise AD, Exchange, Skype 연동 유경험자
- 이외 Third Party 연동 경력 
- 클라우드 기반 서비스 개발 및 운영 경력"
"백엔드개발자,소프트웨어개발자","AI 개발자
( 1명 )
주요 업무
언어모델(LLM)을 활용한 자연어처리(NLP) 기술 연구 및 개발
챗봇, AI 서빙 등의 서비스에서 알고리즘 구현 및 모델링 (예: 텍스트 분류, 문서 요약 등)
자연어처리 및 챗봇 기반 인공지능 시스템의 엔진 기능 구현 및 프로토타입(Prototype) 개발
인공지능(AI) 시스템 및 서비스(챗봇, RPA 등)의 조사, 연구 및 기획
자격 요건
의사소통과 협업에 적극적인 자세를 가진 연구/개발자
LLM 및 챗봇과 같은 자연어처리 기반 인공지능(AI) 서비스에 대한 기본적인 이해
NoSQL(MilvusDB, Redis) 및 API(FAST API)와 같은 백엔드 개발 기본 지식 보유
LangChain, LangGraph, AI Prompt 관련 경험
Python 활용에 대한 기본 지식
우대 사항
Linux 환경에서의 개발 및 서버 장애 대응 경험
CentOS, Ubuntu, Docker 등 서버 관련 지식 보유
네트워크 관련 지식 및 경험 보유"
"백엔드개발자,소프트웨어개발자,R&D·연구원","소프트웨어 개발
(경력)
[담당업무]
ㆍ항해 장비 관련 백엔드 서버 개발
ㆍ서버 아키텍처 설계 및 개발
ㆍ데이터베이스 설계 및 개발

[자격요건]
ㆍ경력 : 서버 개발 경력 3년 이상 ~ 5년 이하
ㆍ학력 : 대졸(4년제) 이상
ㆍ서비스 플랫폼 개발 또는 운영 경험

[우대사항]
ㆍ데이터베이스 관련 지식 또는 개발 경험
ㆍ백엔드 프레임워크에 대한 이해 및 경험
ㆍAI 기술을 활용한 개발 경험
ㆍ네트워크 기본 지식 보유
ㆍ영어로 기술 문서 작성 가능자
ㆍ소프트웨어 개발 관련 자격증 보유자"
"백엔드개발자,프론트엔드개발자,웹개발자"," 신입사원
주요 업무
- 웹 및 모바일 웹기반 플랫폼/서비스 개발 및 운영
 사용 기술
- Java, Javascript, Vue.js, Spring, Spring Boot, Git, SVN, SQL 등
 지원 자격
- Java 및 Spring 혹은 Srping Boot 기반 개발에 이해와 관심이 있는 분
- Javascript, jQuery, Vue.js 기반 개발에 이해와 관심이 있는 분
- 하이브리드앱 개발에 이해와 관심이 있는 분
 우대 사항
- 여러 직군과 협업하여 능동적인 업무를 진행할 수 있는 역량을 지닌 분
- 활발한 성격을 소유하신 분
- 관련 자격증 보유하신 분
- IT 관련 학과 전공이신 분"
"백엔드개발자,프론트엔드개발자,웹개발자","
이런 분을 찾아요
- React, Vue, Angular 등 SPA 프레임워크 사용에 능숙한 분이면 좋아요.
- JavaScript, TypeScript, Node.js를 이용한 개발 경험이 있으신 분이면 좋아요.
- 제품, 서비스 등을 주도적으로 기획하고 실행하여 뛰어난 성과를 만들어본 경험이 있으신 분을 찾아요.
- 애자일한 프로세스로 문제를 해결해 성과를 만들거나 실패한 경험이 있으신 분이 필요해요.
- 어려운 미션, 도전적인 목표, 힘든 순간에도 에너지와 의지를 갖추고 임팩트를 만들어 내고야 마는 분을 원해요.
- IT 회사에서의 웹 서비스 서버 개발 경험을 바탕으로 꾸준히 기술적인 성장을 갈구하는 마음을 가진 분과 함께하고 싶어요.
- 코드 리뷰 등 개발 문화에 관심이 있으신 분
- 유연한 사고와 커뮤니케이션 능력을 보유하신 분




풀링에서 사용하는 기술
- React, TypeScript, Next.js
- Node.js, Spring, SQL
- Docker, Kubernetes"
"백엔드개발자,웹개발자,소프트웨어개발자","자바 웹 개발자 모집
( 1명 )
담당업무
ㆍ웹 솔루션 개발(필수) : 전자정부 표준 프레임워크(eGovFrame), Spring framework, Spring Boot,  Web Servlet, Spring Web Flow(SWF), JPA, MyBatis, Restful, Swagger, Java, jsp, Back-end 개발자
ㆍ데이터베이스(DBMS) : Oracle, MariaDB(MySQL), CUBRID, PostgreSQL 등 사용 경험
ㆍ개발 / 유지보수 / 운영
ㆍ클라우드 네이티브(우대) : Docker/Container, Kubernetes, MicroService(MSA), DevOps & CI/CD
ㆍ데이터(우대) : 데이터 표준화, 데이터 가공, 데이터 품질관리 경험
   자격요건
ㆍ학력 : 초대졸이상
ㆍ경력 : 경력2년↑

우대사항
ㆍ인근 거주자
ㆍ해당 직무 근무 경험
ㆍ자격증 : 정보처리기사, 빅데이터분석기사, DAP(DAsP), SQLP(SQLsP), ADP(ADsP) 등
ㆍ전공 : 자연 및 공학계열, 전산학·컴퓨터공학, 응용소프트웨어공학, 데이터(통계) 전공자

"
"백엔드개발자,프론트엔드개발자,웹개발자","웹 애플리케이션 개발 및 유지보수
프론트엔드 및 백엔드 개발
신입, 학력 무관
HTML, CSS, JavaScript에 대한 기본 지식
하나 이상의 백엔드 언어(Java, Python등) 사용 경험
Git등의 버전 관리 도구 사용 경험
 팀 협업 및 의사소통 능력

[우대사항]
관련 프로젝트 또는 인턴십 경험
RESTful API 설계 및 구현 경험
문제 해결 능력 및 논리적 사고"
"백엔드개발자,앱개발자,시스템엔지니어","담당업무
ㆍ연구개발 지원 및 데이터 수집·정리
ㆍ프로토타입 테스트 및 문서 작성 보조

스킬
ㆍAPI, AWS, Docker, Git, Hadoop, iBATIS, JAVA, Jenkins, Jira, JPA

자격요건
ㆍ학력 : 대졸이상
ㆍ경력 : 신입

우대사항
ㆍ국가유공자
ㆍ보훈대상자
ㆍ고용촉진지원금 대상자
ㆍ취업보호대상자
ㆍ장애인
ㆍ중장년층
ㆍ외국인
ㆍ전공 : 공학계열"
"백엔드개발자,IT·기술영업","
개발
Java, Spring Framework, Rest API 개발 
지식 보유자
java/JSP, javascript, Jquery, HTML등 웹 개발 프로그래밍 지식 보유자
서버 프로그래밍 및 운영 관리 가능자
Git 등 버전 관리 시스템 지식 보유자
AWS 클라우드 서비스의 기본 지식이 있는 분
팀원들과 소통하며 문제를 해결/공유 하며 성장할 수 있는 분
백엔드 시스템 및 API 설계/연동 개발 경험자
RDBMS, NoSQL의 이해 및 사용 경험자
클라우드 서버 개발 경험자
클라우드 환경(AWS, GCP, Azure 등)에서의 서비스 운영 경험자
컴퓨터공학 등 IT/전산 관련 학과 졸업자 또는 그에 준하는 전공 지식 보유"
"백엔드개발자,프론트엔드개발자,웹개발자","(정규직) JAVA, JSP 개발
담당업무
- JAVA/JSP 프로그램 개발
자격요건
- 경력 : 신입/경력 (년수무관)
- 성실하고 적극적인 성격
- 건강상의 결격사유가 없는 자
우대사항
- 관련 학과 전공자 및 유관업무 경력자
- 관련 자격증 소지자 우대
- Sping 프레임워크/전자정부 프레임워크 사용 경험자 우대"
백엔드개발자,"담당업무
ㆍGo 언어를 활용한 데이터 수집 및 처리 파이프라인 개발
ㆍMiddleware, Repository 관리
ㆍDocker, Kubernetes 기반의 컨테이너화 및 운영/배포 자동화
ㆍgRPC, TCP/IP 등 네트워크 프로토콜을 활용한 고성능 데이터 처리
ㆍGitLab CI/CD를 활용한 지속적 통합 및 배포 자동화 환경 구축

자격요건
ㆍGo 언어에 능숙한 분
ㆍSQL 사용에 능숙한 분
ㆍGit을 활용한 버전 관리 및 협업 경험
ㆍTCP/IP, gRPC 등 네트워크 프로그래밍 및 고성능 데이터 처리 경험

우대사항
ㆍDocker, Kubernetes 환경에서 실행 및 배포 경험
ㆍRDBMS SQL 최적화 및 데이터 모델링 경험
ㆍKafka 기반 데이터 스트리밍 및 Redis 캐시 시스템 활용 경험"
"백엔드개발자,웹개발자,IT컨설팅","IT 컨설턴트
( ○명 )
담당업무
   고객의 비즈니스 요구를 분석하고, 최적의 솔루션을 제안하여 구현하며, 지속적인 기술 지원을 제공
ㆍ고객의 요구사항을 분석하고, 서비스나우 솔루션을 통해 최적의 비즈니스 솔루션을 제안하는 일을 수행합니다.
ㆍ서비스나우 솔루션을 고객 환경에 맞게 구현하고, 기존 시스템과의 통합을 지원합니다.
ㆍ솔루션의 사용법을 고객에게 교육하고, 문제 해결 및 기술 지원을 제공합니다.
ㆍ솔루션 설치, 구성, 유지보수, 업그레이드 작업을 수행하고, 기술적 문제 해결을 담당합니다.

우대사항
ㆍ서비스나우 자격증 보유
ㆍ다양한 산업의 비즈니스 프로세스를 이해하고, 솔루션을 이에 맞게 맞춤화하고 최적화할 수 있는 능력을 가진 자
ㆍ데이터베이스 관리, 네트워크 구성, 시스템 통합 등과 같은 기술적 지식을 보유한 자
ㆍ고객과의 원활한 커뮤니케이션과 관계 구축이 가능하며, 기술적 개념을 비전문가에게 명확하게
     전달할 수 있는 능력이 있는 자.
ㆍ영어를 사용하여 솔루션 학습을 원활히 수행 할 수 있는  자. 
"
"백엔드개발자,웹개발자,DBA","세종시에서 저희 팀에서 함께 할 DevOps 인재를 기다립니다.

-  (화면/서버) 프로그램 개발  [ JS , spring framework , DB ]
 - SQL 통계 자료 산출 


이런 분이면 더 좋아요
-   정보처리기사 자격증 취득자
-   빅데이터 분석기사 자격증 취득자
-   IT 관련 수상경력자
-   IT 개발 인력 양성 국비교육 이수자 분들을 우대합니다."
"백엔드개발자,프론트엔드개발자,웹개발자","SW 개발자 모집
( 1명 )
담당업무
ㆍSW 프로그램 개발


스킬
ㆍJAVA, Git, Javascript, React, Spring

자격요건
ㆍ학력 : 초대졸이상
ㆍ경력 : 경력무관

우대사항
ㆍAndroid 개발자
ㆍ웹 개발자(Java, Spring Framework)
ㆍNode-js 및 React 프로그래밍 가능자
ㆍ임베디드 프로그래밍 가능자
ㆍ아두이노 펌웨어 프로그래밍 가능자"
"백엔드개발자,프론트엔드개발자,웹개발자","
ERP JAVA 경력 개발자 모집
( ○명 )

스킬
ㆍAjax, iBATIS, JAVA, JSP, SQL, JSON

핵심역량
ㆍ 성실성, 협동심, 성장지향성
우대사항
ㆍ자격증 : 정보처리기사
ㆍ전공 : 컴퓨터공학과"
"백엔드개발자,프론트엔드개발자,웹개발자","담당업무 
ㆍ Java 기반의 웹 애플리케이션 개발 혹은 프로젝트 참여

요소기술
ㆍJava, JavaScript, HTML, CSS
ㆍREST API
ㆍ데이터베이스(MySQL, Oracle 등)

자격요건
ㆍ 학력 : 대졸이상 
ㆍ 경력 : 신입 및 경력

우대사항
ㆍ프론트엔드/백엔드 개발 유경험자
ㆍ분산처리 설계 및 개발 경험자
ㆍ다중 스레드 환경에서의 프로그램 개발 경험자
ㆍ 석/박사학위 수여자
ㆍ관련 자격증 보유"
"백엔드개발자,프론트엔드개발자,웹개발자","React/node.js 개발자
( 3명 )
담당업무
ㆍ신규 프로젝트 구축

스킬
ㆍJavascript, TypeScript, React, Node.js(Nest.js), MySql(MariaDB)

자격요건
ㆍ학력 : 학력무관
ㆍ경력 : 신입·경력3년↑
             (다른 직군의 경력은 경력기간에 포함하지 않습니다.) 

우대사항
ㆍRest API 개발 경험 있으신 분
ㆍ외부 API 개발 경험 있으신 분
ㆍPHP 개발 경험 있으신 분
ㆍLinux, Ubuntu / AWS 웹 서버 기본 설정이 가능하신분
ㆍGit 형상 관리 가능하신분"
"백엔드개발자,프론트엔드개발자,소프트웨어개발자","Java 웹프로그래머
신입
( ○○명 ) 
담당업무
ㆍJava 기반의 웹 프로그래밍
ㆍ공공 SI 개발 사업 업무 수행
ㆍ공공 SM 유지관리 사업 업무 수행

자격요건
ㆍ학력 : 초대졸이상

우대사항
ㆍ관련 자격증 보유자
- 정보처리기사, 측량및지형공간정보기사 등
ㆍ전공 : 정보통신공학과, 컴퓨터공학과, 응용소프트웨어공학과

Java 웹프로그래머
경력자
( ○○명 ) 
담당업무
ㆍJava 기반의 웹 프로그래밍
ㆍ공공 SI 개발 사업 업무 수행
ㆍ공공 SM 유지관리 사업 업무 수행
ㆍ프로젝트 산출물 및 사업관리 지원 업무 수행

자격요건
ㆍ학력 : 초대졸이상
ㆍ경력 : 경력 3년↑

우대사항
ㆍ관련 자격증 보유자
- 정보처리기사, 측량및지형공간정보기사 등
ㆍ전공 : 정보통신공학과, 컴퓨터공학과, 응용소프트웨어공학과"
백엔드개발자,"주요 담당 업무
ㆍJAVA 개발
- WAS 개발
- 전자정부프레임워크/Spring Boot 사용

ㆍelasticsearch 개발
- 오픈소스 elasticsearch 연계 프로그램 개발
- JAVA로 개발

스킬
ㆍJAVA, JPA, Spring Boot, 전자정부표준프레임워크

자격요건
ㆍ학력 : 학력무관"
"백엔드개발자,프론트엔드개발자,웹개발자","스킬
ㆍReact(필수), JavaScript(TypeScript), Oracle, ag-grid(우대), 

기간
ㆍ4월1일(4월중 투입 가능) ~ 11월30일

자격요건
ㆍ학력 : 초대졸이상
ㆍ경력 : 경력1년 이상
ㆍLG전자 디지털파크 출퇴근 가능하신분,  별도 출장비(교통비) 없음, 서울/경기 셔틀운행

근무지
ㆍ경기도 평택시 진위면 청호리 엘지(전자)디지털파크(경기 오산시, 1호선 오산역)

  *스킬인벤토리 또는 이력서 메일송부 부탁드립니다.  jh@inscorp.co.kr "
"백엔드개발자,프론트엔드개발자,웹개발자","Web 개발직 신입/경력직
( ○명 )
담당업무
ㆍ자사솔루션 기술개발 및 유지관리
ㆍ신규 프로젝트 참여
ㆍ프론트엔드 및 백엔트 개발

스킬
ㆍNode.js, React, MSSQL

핵심역량
ㆍ 계획성, 꼼꼼함, 성실성, 창의성, 협동심"
"백엔드개발자,웹개발자,시스템엔지니어","담당업무
ㆍ금융 SI 프로젝트 수행
ㆍ프로젝트 PL 또는 개발리더 수행
ㆍ기술 검토 및 사업 제안

스킬 (아래 기술 그룹 中 1개 이상 개발 경력자)
ㆍJAVA, JSP, Jquery
ㆍVue.js, React 
ㆍAWS, MSA, Spring
ㆍ전자정부 F/W

자격요건 
ㆍ학력 : 초대졸이상
ㆍ경력 : 경력3년↑ (중급, 고급 모집)

우대사항
ㆍ자격증 : 정보처리기사
ㆍ전공 : 전산학·컴퓨터공학, 정보·통신공학, 응용소프트웨어공학
ㆍPL 또는 PM 업무 가능자
ㆍAA 우대
ㆍReact 우대
ㆍ금융 IT분야 공통 업무 개발 경험자
ㆍ대고객 채널(인터넷뱅킹, 스마트뱅킹) 경험자
ㆍ솔루션 및 인증 연계 개발 경험자"
"백엔드개발자,웹개발자,앱개발자","기반
개발자
( ○명 )
공통 자격요건
     ㆍ학력 : 무관
     ㆍ나이/성별 : 무관
ㆍ경력자 : 1년~5년 (신입 인턴 무관)
ㆍ우대 : 정보처리기사 / 정보처리산업기사
Java Spring Framework 개발자  

담당업무
ㆍ전자정부레임워크 기반 S/W 개발
ㆍJava, Spring framework, RESTFul API 개발 경험
ㆍHTML5, CSS3
ㆍOracle, PostgreSQL 사용 경험
ㆍGIT, SVN 협업 도구 사용 경험
ㆍGIS 관련 오픈소스 라이브러리 경험
ㆍ개발자 코딩테스트

우대사항
ㆍRedmine 또는 Jira 사용 경험자
ㆍ타 시스템 연계 프로젝트 경험 (경력자에 한함) 
ㆍSaaS(Software as a Service) 기반 소프트웨어 개발 경험 (경력자에 한함) 
ㆍ오픈소스 기반 GIS 관련 프로젝트 경험  (신입 / 인턴의 경우 미니 프로젝트 무관)   
ㆍ관련 프로젝트 경험 (신입 / 인턴의 경우 미니 프로젝트 무관) 
ㆍ공인인증 / 금융인증 / 스크랩핑 경험 (경력자에 한함) "
"백엔드개발자,프론트엔드개발자,보안엔지니어,IT·기술영업,생산·공정관리자,품질관리자","프론트엔드 개발
자격요건 
ㆍ컴퓨터공학/전산/IT전공자 우대
ㆍHTML, CSS, React, Javascript(ES6+), TypeScript 대한 깊은 이해
ㆍReact 기반 서비스 개발 및 운영 경험
ㆍ서버 사이드 개발 경험 혹은 백엔드에 대한 기본적인 이해(Node,js)
ㆍ테스트 및 배포 자동화 경험
ㆍ기존 코드 베이스에서 새로운 코드 베이스로 개선한 경험

근무지
ㆍ서울


공통 지원자격
ㆍ기 졸업자 및 25년 8월 졸업예정자
ㆍ공인 영어성적 보유(TOEIC SPEAKING 120, Opic IM2 이상"
"웹기획,웹개발자,앱개발자","웹 또는 앱개발
- 프론트 또는 백엔드 개발
- 인공지능 알고리즘 개발

                                                                                                                                                                                                                                                                스킬
                                                                                                                                                                                                                                                                ㆍJavascript, Node.js, React, TypeScript, React Native, DBMS
- reactNative
-React
- javascript, TypeScript
- 기타 프론트 개발 관련 언어, 프레임 워크

                                                                                                                                                                                                                                                                자격요건
                                                                                                                                                                                                                                                                ㆍ학력 : 학력무관
                                                                                                                                                                                                                                                                ㆍ경력 : 신입

                                                                                                                                                                                                                                                                우대사항
                                                                                                                                                                                                                                                                ㆍ인근거주자
                                                                                                                                                                                                                                                                ㆍ컴퓨터활용능력 우수자
                                                                                                                                                                                                                                                                ㆍ전공 : 컴퓨터공학과, 응용소프트웨어공학과"
"웹개발자,소프트웨어개발자,IT컨설팅","담당업무
ㆍSI프로젝트 참여 
ㆍ프론트엔트 / 백엔드 개발
ㆍ서비스 플랫폼 개발

스킬
ㆍJPA, Javascript, JAVA, Vue.js, TypeScript, React, 풀스택, Spring Boot

자격요건
ㆍ학력 : 대졸이상
ㆍ경력 : 신입
ㆍ서울 / 경기 전지역 근무가능자

우대사항
ㆍ유관업무 경험자(인턴·알바)
ㆍ장애인
ㆍ영어가능자
ㆍ관련 학과 전공자
ㆍ관련 자격증 보유자
ㆍ리더쉽 소유자
ㆍ컴퓨터활용능력 우수자
ㆍ문서작성 우수자"
"백엔드개발자,웹개발자,시스템엔지니어","스킬
ㆍFlutter, Git, JAVA, Javascript, JPA, OracleDB, PL/SQL, SQL, Websquare

핵심역량
ㆍ 성실성, 적응성, 협동심, 꼼꼼함, 메타인지, 성장지향성

자격요건
ㆍ학력 : 학력무관
ㆍ경력 : 신입·경력

우대사항
ㆍ컴퓨터활용능력 우수자
ㆍ유관업무 경험자(인턴·알바)
ㆍ관련 자격증 보유자
ㆍ유관업무 경력자
ㆍ자격증 : 정보처리기사, 정보처리산업기사
ㆍ전공 : 컴퓨터.정보전공, 컴퓨터공학계열"
"백엔드개발자,프론트엔드개발자,웹개발자","자바개발자
( ○명 )
담당업무
ㆍSI/SM 개발, 유지보수 업무(SPRING 기반)

스킬
ㆍJAVA, React, Spring, Spring Boot, Vue.js, Nexacro
    풀스택, ERP, MES, 보험


자격요건
ㆍ학력 : 초대졸 이상
ㆍ경력 : 신입 · 경력3년 이상

우대사항
ㆍ관련 자격증 보유자
ㆍ자격증 : 정보처리기사
ㆍ전공 : 컴퓨터공학과"
"백엔드개발자,프론트엔드개발자,웹개발자,웹퍼블리셔","채용분야
ㆍBack & Front End 개발자(신입)

담당업무
ㆍ아는자산 서비스 개발 및 유지보수 ( or 쇼핑몰 솔루션 개발 및 유지보수 )

개발환경
ㆍVue.js, Laravel Framework, Bootstrap, jQuery, React, Next.js
ㆍPostMan, JetBrains, VSCode,Figma
ㆍGit, Redmine, Slack, Notion
ㆍMySQL, ElasticSearch

자격요건
ㆍ신입 ~ 2년 미만
ㆍ개발 언어 사용에 거부감이 없는 자

기본소양
ㆍ원만한 대인관계를 유지하고, 타인과 원활한 소통이 가능한 자
ㆍ동료의 존중과 배려 및 협업에 적극적인 자세를 가진 자
ㆍ스스로 업무와 질문에 대한 답을 찾아 내려는 자세를 가진 자

우대사항
ㆍ온라인 쇼핑몰 개발 경험
ㆍ다양한 언어 사용 경험
ㆍPHP 개발 경험"
"백엔드개발자,프론트엔드개발자,웹개발자","담당업무
ㆍ소프트웨어 개발/운영

스킬
ㆍJAVA, C, C#, Spring, SQL, Jquery, Vue.js, React

자격요건
ㆍ학력 : 대졸이상
ㆍ경력 : 경력1년↑

우대사항
ㆍ장기근무 가능자
ㆍ자격증 : 정보처리기사
ㆍ전공 : 전산학·컴퓨터공학
"
"백엔드개발자,웹개발자","시스템 개발/운영( ○명 )
담당업무
ㆍ시스템 운영 및 유지보수
ㆍ공공기관 업무지원 시스템 개발/운영
ㆍ기업 시스템 개발/운영
ㆍ시스템 적용 및 배포, 테스트 관리

스킬
ㆍAPI, Git, JAVA, Spring Boot, MSSQL, Jenkins, AWS 등

자격요건
ㆍIT관련 전공자 혹은 그에 상응하는 기초지식을 가지신 분
ㆍ학력 : 초대졸이상
ㆍ경력 : 신입

우대사항
ㆍ원활한 커뮤니케이션능력을 보유하신 분
ㆍIT정보시스템 서비스운영 및 품질관리에 대한 이해력이 높으신 분
ㆍ컴퓨터활용능력 우수자
ㆍ문서작성 우수자
ㆍ학점우수(대졸 4.0이상)
ㆍ관련 학과 전공자
ㆍ관련 자격증 보유자
ㆍ유관업무 경험자(인턴·알바)
ㆍ인근거주자"
"백엔드개발자,프론트엔드개발자,웹개발자","담당업무
ㆍ소프트웨어 개발/운영

스킬
ㆍJAVA, Spring, SQL, Jquery, Vue.js, React, C#, Python, 

자격요건
ㆍ학력 : 대졸이상
ㆍ경력 : 신입·경력1년↑

우대사항
ㆍ장기근무 가능자
ㆍ자격증 : 정보처리기사
ㆍ전공 : 전산학·컴퓨터공학"
"백엔드개발자,프론트엔드개발자,웹개발자","담당업무
1. 시스템 유지보수 및 고도화
2. 시스템 재구축
3. 백앤드 / 풀스택 개발

스킬
ㆍAPI, Docker, JAVA, MariaDB, MongoDB, Oracle, Spring, Spring Boot, Linux Crontab

자격요건
ㆍ학력 : 초대졸이상
ㆍ경력 : 신입

우대사항
ㆍ자격증 : 정보처리기사, 정보처리산업기사"
"백엔드개발자,프론트엔드개발자,웹개발자","담당업무
1. S/W 개발 업무직 O 명
ㆍ반도체 설계 및 검증 환경 자동화 S/W 개발
ㆍGUI/Web 기반 검증 및 DB 관리 S/W 개발
ㆍWeb 개발 및 Mobile app 개발


2. IT 업무직  O 명 
 - 서버 개발  및 운용 (보완)
 - 네트워크 관리 및 운용 개발

스킬
ㆍAPI, Git, Python, linux, Html css javascript, react,  flutter, flask, pandas, websocket


자격요건  
ㆍ경력 : 신입 및 경력1년↑
ㆍHttp 메서드를 사용하여 백엔드와 통신 가능한 자
ㆍ상태관리를 효율적으로 관리 가능한 자
ㆍ파이썬 라이브러리(flask, pandas)에 능숙한 자
                         우대사항
ㆍ영어가능자
ㆍ영어능통자(원어민수준)
ㆍ전공 : 전기전자공학과, 컴퓨터공학과, 응용소프트웨어공학과
ㆍ유관업무 경험자
ㆍ서버 및 네트워크 운용.개발 관련 업무 경험 및 지식 보유자  
     *  flutter
          - 소켓 프로그래밍을 통해서 양방향 통신을 통한 UI 업데이트가 가능자
           - Test flight를 통해 IOS 앱 배포 경험이 있는 자
      * react : Typescript 사용 가능자 "
"백엔드개발자,웹개발자,시스템엔지니어,네트워크엔지니어,DBA,클라우드엔지니어","[메이크샵]
백엔드 개발자
합류 시 함께 하게 될 업무에요
메이크샵 솔루션의 기능을 개발하고 유지보수해요.
저희는 이런 분과 함께 하고 싶어요
경력 : 1년 이상 5년 이하
DB 설계 및 구축 경험이 있으신 분
보안코딩, 클린코드에 대한 관심이 있으신 분
PHP, MySQL, Javascript 사용 가능하신 분
다음과 같은 자격을 갖고 계시면 더욱 좋아요
대용량 데이터 처리 경험이 있으신 분
Javascript, jQuery, HTML, CSS 등 웹 환경에 대한 이해도가 높으신 분
쇼핑몰 동종 또는 관련 업종 근무 경험이 있으신 분"
"백엔드개발자,웹개발자,소프트웨어개발자","
Java(자바) 신입/경력직 개발자 모집 (솔루션,SI,SM)
- Java, JSP, Spring, 전자정부포준프레임워크
- 솔루션, SI, SM
- 웹 프로그램 개발
학력: 학력무관
경력: 신입/경력
성별: 무관

[우대조건] 
- 고용촉진지원금 대상자
- 취업보호대상자
- 유관업무 경력자
"
